document,figure,docx_media,reference_artifact,source_code,public_notebook,match_confidence,primary_data_dependency,figure_topic
main,Figure 2,word/media/image3.png,current_version/updated_figures/Figure2_panel_titles_and_shading_corrected.png,paper_revision/figure_updates/rebuild_figure2.py,01_main_figures_02_06.ipynb,high,analytic initial-condition generator,Initial jet and thermal-wind structure
main,Figure 3,word/media/image4.png,ready_version/AGU_Manuscript_FV3_Mingfei.docx::word/media/image4.png,analysis_notebooks/case_studies/case.ipynb; analysis_scripts/case_visualization/visu.py,01_main_figures_02_06.ipynb,high,raw BCwave NetCDF,Surface-pressure and 850-hPa-temperature life cycle
main,Figure 4,word/media/image6.svg,ready_version/AGU_Manuscript_FV3_Mingfei.docx::word/media/image6.svg,analysis_notebooks/case_studies/case.ipynb; analysis_notebooks/case_studies/casecheck.ipynb,01_main_figures_02_06.ipynb,source_layout,raw BCwave NetCDF,Upper-level flow evolution
main,Figure 5,word/media/image7.png,ready_version/AGU_Manuscript_FV3_Mingfei.docx::word/media/image7.png,analysis_notebooks/rwb/RWB.ipynb; analysis_scripts/overturning/overturning.py,01_main_figures_02_06.ipynb,high,derived_data/pv_isentropic,RWB object-time statistics
main,Figure 6,word/media/image9.svg,ready_version/AGU_Manuscript_FV3_Mingfei.docx::word/media/image9.svg,analysis_notebooks/energetics/regional_eke.ipynb,01_main_figures_02_06.ipynb,high,raw BCwave NetCDF,Domain-mean EKE evolution
main,Figure 7,word/media/image11.svg,figures/case_studies/figure6_omg500_polar_days10-14.png,analysis_notebooks/case_studies/casecheck.ipynb,02_main_figures_07_10.ipynb,high,raw BCwave NetCDF,Cyclone pressure-contour interaction
main,Figure 8,word/media/image13.svg,current_version/updated_figures/Figure8_corrected.png,paper_revision/figure_updates/rebuild_figure8_right_panels.py; analysis_notebooks/tracking/contrack.ipynb,02_main_figures_07_10.ipynb,high,raw NetCDF; merger catalog; wind diagnostics,Surface-wind response around pressure connection
main,Figure 9,word/media/image14.png,paper_revision/manuscript/revised/media_from_docx/media/image13.png,analysis_notebooks/exploratory/check.ipynb; analysis_notebooks/merger/pri_cyclone_merger.ipynb,02_main_figures_07_10.ipynb,high,raw BCwave NetCDF,Cyclone Hovmöller diagrams
main,Figure 10,word/media/image15.png,ready_version/AGU_Manuscript_FV3_Mingfei.docx::word/media/image15.png,analysis_notebooks/merger/merger.ipynb; analysis_notebooks/merger/pri_cyclone_merger.ipynb,02_main_figures_07_10.ipynb,high,merging_times.txt catalogs,Cyclone-interaction event counts
main,Figure 11,word/media/image17.svg,ready_version/AGU_Manuscript_FV3_Mingfei.docx::word/media/image17.svg,analysis_notebooks/case_studies/casecheck.ipynb,03_main_figures_11_13.ipynb,high,raw BCwave NetCDF,Persistent-anticyclone evolution
