id,label,title,scientific_or_presentation_change,figures,scripts,tables
main_rwb_constant_u0,Current Figure 6,RWB statistics for the constant-u0 ensemble,Uses only the 45 constant-u0 simulations and removes the in-figure overall title.,revision_20260823/artifacts/main_rwb_constant_u0/figures/Figure6_RWB_fraction_constant_u0_no_suptitle.png;revision_20260823/artifacts/main_rwb_constant_u0/figures/Figure6_RWB_fraction_constant_u0_no_suptitle.pdf,revision_20260823/artifacts/main_rwb_constant_u0/scripts/replot_figure5_rwb_constant_u0_no_suptitle.py,
main_eke_midlatitude_eady,EKE evolution revision,NH EKE evolution with initial 30–70°N Eady-growth context,Adds experiment legends and initial midlatitude Eady-growth annotations using the NH-consistent diagnostic.,revision_20260823/artifacts/main_eke_midlatitude_eady/figures/Figure6_EKE_evolution_with_midlatitude_Eady_mean.png;revision_20260823/artifacts/main_eke_midlatitude_eady/figures/Figure6_EKE_evolution_with_midlatitude_Eady_mean.pdf,revision_20260823/artifacts/main_eke_midlatitude_eady/scripts/plot_figure6_eke_with_midlatitude_eady.py,revision_20260823/artifacts/main_eke_midlatitude_eady/tables/Figure6_initial_midlatitude_Eady_annotations.csv
main_cyclone_overview,Current Figure 9,Cyclone interaction from eddy surface pressure,Combines the hemispheric evolution and the b2n3s10 local zoom using eddy-SLP contours.,revision_20260823/artifacts/main_cyclone_overview/figures/Figure9_eddy_cyclone_overview_plus_zoom.png;revision_20260823/artifacts/main_cyclone_overview/figures/Figure9_eddy_cyclone_overview_plus_zoom.pdf,revision_20260823/artifacts/main_cyclone_overview/scripts/reorganize_eddy_cyclone_figures.py,
main_cyclone_wind_evolution,Current Figure 10,1000-hPa wind evolution around eddy-contour connection,"Separates the time-series figure and adds panel-specific legends for s, n, and b.",revision_20260823/artifacts/main_cyclone_wind_evolution/figures/Figure10_eddy_cyclone_wind_evolution_timeseries.png;revision_20260823/artifacts/main_cyclone_wind_evolution/figures/Figure10_eddy_cyclone_wind_evolution_timeseries.pdf,revision_20260823/artifacts/main_cyclone_wind_evolution/scripts/reorganize_eddy_cyclone_figures.py,revision_20260823/artifacts/main_cyclone_wind_evolution/tables/Figure8_eddy_wind_speed_series_standard.csv
main_persistent_anticyclone,Current Figure 11,Persistent-anticyclone evolution diagnosed from eddy SLP,"Uses eddy-SLP contours, improved spacing, corrected sectors, and two high-center labels in the local panels.",revision_20260823/artifacts/main_persistent_anticyclone/figures/Figure11_eddy_persistent_anticyclone.png;revision_20260823/artifacts/main_persistent_anticyclone/figures/Figure11_eddy_persistent_anticyclone.pdf,revision_20260823/artifacts/main_persistent_anticyclone/scripts/plot_figure11_eddy_qc.py,revision_20260823/artifacts/main_persistent_anticyclone/tables/Figure11_eddy_panel_metadata.csv
main_high_pressure_hovmoller,Current Figure 12,High-pressure eddy-SLP Hovmöller diagrams,"Uses 2-hPa intervals, a ±2-hPa white center, ±10-hPa limits, and corrected b-axis labels.",revision_20260823/artifacts/main_high_pressure_hovmoller/figures/Figure12_eddy_high_pressure_hovmoller_2hpa_pm10_blabels.png;revision_20260823/artifacts/main_high_pressure_hovmoller/figures/Figure12_eddy_high_pressure_hovmoller_2hpa_pm10_blabels.pdf,revision_20260823/artifacts/main_high_pressure_hovmoller/scripts/replot_figure12_eddy_hovmoller_2hpa_pm10_blabels.py,
main_heatmaps_james_qc,Heatmap presentation revision,Eddy-SLP cyclone counts and anticyclone duration,"Applies the final JAMES-style panel labels, removes oversized suptitles, and retains the eddy-field diagnostics.",revision_20260823/artifacts/main_heatmaps_james_qc/figures/Figure6_eddy_slp_coalescence_heatmaps.png;revision_20260823/artifacts/main_heatmaps_james_qc/figures/Figure6_eddy_slp_coalescence_heatmaps.pdf;revision_20260823/artifacts/main_heatmaps_james_qc/figures/Figure13_eddy_anticyclone_overlap_duration.png;revision_20260823/artifacts/main_heatmaps_james_qc/figures/Figure13_eddy_anticyclone_overlap_duration.pdf,revision_20260823/artifacts/main_heatmaps_james_qc/scripts/replot_heatmaps_james_qc.py,
si_s9_s10_upper_lower,SI Figures S9–S10,Initial and growth-phase upper/lower baroclinicity profiles,Uses 1000–850 hPa for the lower-layer shading and labels the ensembles constant u0 and constant Umax = 30 m s−1.,revision_20260823/artifacts/si_s9_s10_upper_lower/figures/initial_vertical_structure_standard_vs_u30_1000_850.png;revision_20260823/artifacts/si_s9_s10_upper_lower/figures/initial_vertical_structure_standard_vs_u30_1000_850.pdf;revision_20260823/artifacts/si_s9_s10_upper_lower/figures/eddy_flux_vertical_structure_standard_vs_u30_1000_850.png;revision_20260823/artifacts/si_s9_s10_upper_lower/figures/eddy_flux_vertical_structure_standard_vs_u30_1000_850.pdf,revision_20260823/artifacts/si_s9_s10_upper_lower/scripts/make_upper_lower_baroclinicity_figures.py,revision_20260823/artifacts/si_s9_s10_upper_lower/tables/initial_vertical_profiles.nc;revision_20260823/artifacts/si_s9_s10_upper_lower/tables/growth_stage_flux_profiles.nc;revision_20260823/artifacts/si_s9_s10_upper_lower/tables/upper_lower_baroclinicity_profile_statistics.csv
si_s11_rwb_two_ensembles,SI Figure S11,RWB orientation fractions in the two ensembles,Updates visible terminology to constant u0 and constant Umax = 30 m s−1.,revision_20260823/artifacts/si_s11_rwb_two_ensembles/figures/Figure5_original_vs_controlled_same_style.png;revision_20260823/artifacts/si_s11_rwb_two_ensembles/figures/Figure5_original_vs_controlled_same_style.pdf,revision_20260823/artifacts/si_s11_rwb_two_ensembles/scripts/make_original_style_comparison_figures.py,revision_20260823/artifacts/si_s11_rwb_two_ensembles/tables/controlled_rwb_direct_counts_all45.csv
si_s12_s13_colorbars,SI Figures S12–S13,Initial cross sections with corrected colorbars,Repositions colorbars without changing the underlying initial-state or conversion diagnostics.,revision_20260823/artifacts/si_s12_s13_colorbars/figures/Figure_S12_initial_cross_sections_b_variation_colorbar_fixed.png;revision_20260823/artifacts/si_s12_s13_colorbars/figures/Figure_S12_initial_cross_sections_b_variation_colorbar_fixed.pdf;revision_20260823/artifacts/si_s12_s13_colorbars/figures/Figure_S13_initial_cross_sections_n_s_variations_colorbar_fixed.png;revision_20260823/artifacts/si_s12_s13_colorbars/figures/Figure_S13_initial_cross_sections_n_s_variations_colorbar_fixed.pdf,revision_20260823/artifacts/si_s12_s13_colorbars/scripts/fix_figure_s12_colorbars.py;revision_20260823/artifacts/si_s12_s13_colorbars/scripts/fix_figure_s13_colorbar.py,
